imdbID,Title,Year,Rating10,Review,Tags,SafeForParents,ForKids
tt0088509,Dragon Ball,1986,,"CHEGOU O REVIEW MAIS AGUARDADO E MAIS PEDIDO DE TODOS OS TEMPOS BORA FALAR DE DRAGON BALL AAAAAAAAAAAA (Saga por Saga)

1. Saga Pilaf

Quando comecei a assistir Dragon Ball clássico já fui esperando o pior, até pq tinham me alertado que não era muito bom. Mas essa saga aqui me surpreendeu. Introduz muito bem o universo, tem um ritmo super legal. E faz tudo isso em apenas 13 episódios.

Agora aqui me vem o primeiro pensamento: para quem que é esse anime gente? É muito infantil para adulto e adolescente, mas tem cada cena de nudez e altas safadezas. Especialmente as cenas com o mestre Kame. Isso alivia, mas continua durante toda a série. Querendo ou não, isso conta como ponto negativo para série.

2. Saga 21º Torneio

Primeiro torneio aee. Aqui ainda tudo é novo. A gente vê o treinamento com o mestre Kame, aparece o Kuririn. E tem o torneio. As lutas são ótimas, especialmente a última. Mas devo dizer que com 15 episódios, essa saga já começa ficar meio arrastada. Fiquei entediado em alguns momentos.

3. Saga Red Ribbon (+ Saga General Blue + Saga Comandante Red)

Se eu achei a saga anterior levemente arrastada, isso aqui foi uma verdadeira tortura. 39 episódios de muito sofrimento e enrolação.

4. Saga Vovó Uranai

Aqui o Goku quer descobrir onde está uma esfera do dragão que não aparece no radar. Então ele vai até a Vovó Uranai que cobra muitos dinheiros, ou isso, ou vencer cinco guerreiros diferentes. Aqui achei legal que os oponentes têm poderes diferentes, isso faz as lutas serem mais interessantes. Mesmo assim, 16 episódios disso cansa.

5. Saga Tenshinhan (Mais um torneio)

Para ser justo, Dragon Ball não tem muitos furos de roteiro. Mas ele é lotado de retcons. O que é normal em qualquer série longa, mas o problema aqui é que às vezes entre sagas já dá a impressão que quando eles fizeram uma, não estavam pensando na outra. Em Dragon Ball Z isso às vezes acontece dentro da mesma saga.

Deixa eu explicar melhor: é correto que no cinema, você primeiro apresente um elemento, depois vc use. Preparar o terreno antes, assim quem assiste já vê que tudo estava sendo planejado desdo inicio. Retirar ou mudar elementos, mesmo dando uma desculpa boa, já fica como roteiro ruim, até mesmo “Deus Ex Machina” ou “Diabolus ex Machina”.

Esse torneio é um exemplo disso. Onde essa galera nova estava nas sagas anteriores? E tipo, o Goku derrotou sozinho a força Red Ribbon inteira, então agora do nada surgem pessoas tão fortes quanto eles. Tipo, não é um furo de roteiro, mas incomoda.

Dito isso, o torneio é parecido com o anterior e as lutas são ótimas.

6. Saga Piccolo Daimaoh

MATARO O KURIRIN! Isso aqui foi bem impactante, até pelo tom mais leve do clássico. Seria mais impactante ainda se não tivesse a possibilidade de reviver, pq infelizmente, depois dessa, a morte não tem mais peso narrativo em Dragon Ball. Vira uma febre que passa logo depois que reúnem as esferas novamente. Acho que isso prejudica bastante a série toda.

Agora essa saga aqui é a melhor do clássico. O Piccolo Daimaoh mata uma galera, consegue reunir as esferas do dragão, bota o terror na terra e a gente fica bastante desesperado e curioso para saber como o Goku vai conseguir vencê-lo.

7. Saga Piccolo Jr.

Dragon Ball e sua mania de chegar e falar: Esse aqui é o vilão mais forte. Não pera, na verdade, esse aqui é o vilão mais forte. Pra me enganei, ESSE AQUI é o vilão mais forte.

Enquanto a saga Piccolo Daimaoh tem 21 episódios, essa aqui tem 25, mas tendo bem menos conteúdo.

Trazer o Tao Pai Pai de volta só pra nada basicamente. Dizer que ele ficou mais forte após ser reconstruído faz tanto sentido quanto dizer que o filho do Piccolo é mais forte que o próprio Piccolo, ou que em Star Wars, cada geração Skywalker fica mais forte na força.

É só aumentar o nível, novamente fazendo um paralelo com Star Wars. É a base Starkiller, que na falta de criatividade a Disney só fez uma estrela da morte 2, que pode destruir vários planetas ao mesmo tempo. Mas isso só tira o peso dos filmes anteriores. Um bom roteiro faz uma história incrível apenas com TIE fighters (Andor fez, é possível).

A Saga em si é cansativa, a luta contra o Piccolo dura muito tempo, no final só fiquei feliz que acabou.

8. Saga Filler final

Fillerzinho de 5 eps pra acabar a série. Tem o casamento do Goku com a Chichi.

Mas galera, não sei se eu não prestei atenção, mas foram 153 episódios. O Goku teve algum desenvolvimento de personagem? Ele cresceu, ficou mais forte. Mas ele aprendeu algo? Pq ele continua inocente, sempre foi bonzinho desdo inicio. Na verdade, a maioria dos personagens não evolui. A única exceção é quando um personagem do mau fica do bem, tipo o Tenshinhan. Inclusive termina a série e ele continua sem saber que matou o avô. Achei isso bem ruim.

Curtem a comentem para o Z!",,False,False
tt0121220,Dragon Ball Z,1989,,"Continuando a review anterior: DRAGON BALL Z (Saga por Saga)

1. Saga dos Saiyajins

Aqui a série sobe de nível. Grandes revelações são feitas, surge uma ameaça nova. Essa saga é muito boa. Tem o Gohan sofrendo mais que a Juliette, a Chi Chi tendo que lidar com o marido morto e o filho levado pelo Piccolo. Todo mundo se preparando pra chegada dos Saiyajins (que convenientemente demora um ano). E o show dos macacões, que aparecem a todo momento aqui.

Agora uma coisa bem grave são os títulos dos episódios. Coisa que continua durante a série. O título dublado é quase sempre um spoiler, e às vezes até o título em inglês. Mas de qualquer jeito, mudar o título do episódio é uma mudança sem sentido, que só prejudica a experiência. As traduções deveriam tentar ser o mais próximas possíveis do original, não ficar inventando moda.

2. Saga de Freeza

Melhor saga de Dragon Ball, não tem como. Gohan, Kuririn e Buma sozinhos em outro planeta, tendo que lidar com o vilão da saga anterior completamente recuperado e ainda o Freeza, vilão mais forte até então. E aqui a gente vê o Vegeta que a gente ama, com aquele jeito estressado dele que só não sai por aí xingando pq, não sei pq já que já teve cena bem pior que xingamento no anime.

Como se não bastasse, quando o Goku chega ele ainda troca de corpo com o capitão Ginyu, uma dinâmica que eu achei muito legal e diferente. Ah e claro, A TRANSFORMAÇÃO SUPER SAIYAJIN!

Mas, olha, essa saga tem muitos defeitos tbm. São 72 episódios, ela é muito longa e contem MUITOS fillers. E tem muito aquele sentimento que eu falei na minha review do clássico. Parece que eles escrevem um ep sem se planejar pro próximo. O mais gritante aqui são os 5 minutos pra Namekusei explodir que duraram vários episódios. Custava ter falado mais tempo desdo começo e ir diminuindo? Parece que o autor esqueceu que tem borracha e que não tinha problema mudar o número antes de publicar a versão final, se precisa de mais tempo.

3. Saga Garlic Jr.

Nossa, mas eu saí com um ódio dessa saga. Uma saga inteira filler, sendo a continuação de um filme filler que ninguém assistiu. E ainda é uma bosta completa. Isso aqui é imperdoável ter sido animado e terem tido a coragem de publicar isso.

4. Saga dos Androids

Olha, é até interessante a história do Trunks do futuro e tals, mas 77 episódios? Foi muita enrolação, simplesmente conseguiram tornar essa saga em uma experiência não agradável.

Aqui tbm vemos a banalização do super saiyajin, qualquer um consegue agora, até o Gohan. Eu gostei da volta da Red Ribbon, mas um Android ser tão forte assim achei forçado. Agora a ideia do Cell em sim é boa, misturar o DNA dos vilões e heróis anteriores.

Ah, e tem o Freeza voltando no começo dessa saga, com PAI DELE??? Isso não fez o menor sentido.

5. Saga Torneio do Outro Mundo

Saga filler, não é tão ruim até.

6. Saga de Majin Boo

Olha, essa saga tem muitos pontos altos. Todo o conceito do Majin Boo achei muito bom, ele ser ingenuo, e isso ter uma explicação lá na frente. O momento de fazer a Genki Dama extremamente épico e emocionante. O Mrs Satan ter uma inesperada importância.

Agora véi 94 episódios, lotados de muita enrolação, prejudicaram muito minha experiência. E essa saga escancara muitos dos defeitos da série toda.
Aquele papo de retcon mesmo. Eu lembro que primeiro tinha o mestre Kame, aí depois teve o Mestre Karin (meu preferido inclusive, acho muito engraçado), aí teve o Kami-Sama. Só que depois veio o Senhor Kaio, que já um retcon. E depois veio o Grande Senhor Kaioh e por fim o Shin, o Kaiohshin do Leste. Sem contar o Grande Kaiohshin que está acima do Shin e foi absorvido pelo Magin Boo. E tudo isso pq eu parei no Dragon Ball Z, imagina no Super. Isso é forçado e cansativo.

O próprio Boo o tempo todo ficava mais forte ainda do que ele já era porque o roteiro queria assim, por algum motivo achavam que precisava escalar ainda mais. Isso chegou ao ponto da terra explodir e eu nem ligar.

Teve o Vegeta aceitar ser controlado pra lutar com o Goku, sendo que ela já tinha feito algo parecido na saga dos Androids, de deixar o Cell alcançar a forma perfeita. Achei que ele tinha aprendido a lição de deixar o seu orgulho de lado, mas parece que não.

Tem o Goku que passa a maior parte do tempo da série inteira morto, viajando ou algo parecido. Na saga Freeza isso é até legal, cria mais tensão na história. Mas agora só cansa mesmo. Parece que ele não é o protagonista.

Teve o Mrs Satan que no final podia aproveitar a oportunidade que estava falando pra todo mundo e falar a verdade, dizer todas as mentiras que tinha contado. E aí, sim, ganhar o respeito por salvar a terra, mas a série termina com ele usando o Boo do bem pra ganhar o campeonato de artes marciais toda vez, mostrando que ele não evoluiu tanto assim e continua mentindo.

A burrice dos personagens está no nível máximo.

Por fim, essa saga termina Dragon Ball Z com um final bem mé.",,False,False
tt1409055,Dragon Ball Z Kai,2009,,"Eu vi o Dragon Ball Z original, mas por problemas técnicos (somente na saga Boo) tive que assistir uns 5 episódios do Kai, por aí. Mas foi um grande retrocesso, a trilha sonora não é tão boa, mas o que mais me desapontou foi a qualidade da animação, que sem dúvidas é melhor que o Z, mas pela passagem do tempo, eu esperava bem mais. É apenas o desenho do Z com retoques. Achei que a animação seria completamente refeita. Eu esperava algo no nível do Super.",,False,False
tt0406429,Blackpool,2004,,,,False,False
tt6226232,Young Sheldon,2017,8.2,Nenhum outro filme ou série tinha me feito chorar tanto. Passei os últimos 2 episódios inteiros em lágrimas.,,True,False
tt1231602,Green Porno,2008,,,,False,False
tt2125294,Seduce Me,2010,,,,False,False
tt2731456,Mammas,2013,,,,False,False
tt15571732,Agatha All Along,2024,6.5,"Não é tão legal quanto WandaVision. Meio mé na verdade, mas me entreteve.",,True,False
tt13097606,Turma da Mônica: A Série,2022,,,['Turma da Mônica'],True,True
